"Working poor at PPP$3.10 a day (% of total employment)"
"86"," Ecuador","31.3","","31.3","","43.2","","23.9","","14.6","","12.4","","11.9","","9.9","","8.7","","9.5","","10.4","","10.8"," a"
"115"," Egypt","59.4","","61.7","","52.0","","52.4","","46.0","","46.1","","45.4","","46.0","","45.8","","44.9","","44.4","","42.7"," a"
"121"," El Salvador","29.4","","31.8","","18.2","","16.3","","14.3","","11.6","","10.6","","8.8","","8.6","","6.8","","6.7","","6.3"," a"
"141"," Equatorial Guinea","43.1","","37.9","","27.0","","16.0","","12.9","","12.0","","11.1","","11.4","","11.6","","12.5","","13.1","","13.0"," a"
"179"," Eritrea","81.2","","82.0","","77.3","","71.2","","74.4","","74.7","","75.2","","75.6","","75.9","","76.1","","75.6","","75.2"," a"
"144"," Eswatini (Kingdom of)","65.7","","62.6","","49.3","","42.6","","38.5","","37.9","","36.6","","34.6","","33.6","","33.3","","34.1","","34.4"," a"
"173"," Ethiopia","91.7","","92.0","","90.4","","79.6","","71.9","","68.2","","65.4","","61.9","","58.5","","55.1","","52.8","","51.5"," a"
"92"," Fiji","30.0","","25.2","","22.7","","16.5","","14.7","","14.0","","13.4","","12.3","","11.6","","10.9","","10.7","","11.2"," a"
"110"," Gabon","19.0","","19.1","","18.9","","17.7","","16.3","","16.0","","15.7","","15.6","","15.3","","15.2","","15.2","","15.2"," a"
"174"," Gambia","78.6","","80.4","","71.9","","62.3","","59.1","","62.4","","61.1","","60.3","","61.2","","60.2","","60.8","","62.3"," a"
"70"," Georgia","7.7","","52.4","","32.7","","26.7","","27.4","","26.1","","24.4","","20.1","","17.8","","16.6","","15.8","","16.8"," a"
"140"," Ghana","71.2","","63.8","","52.6","","44.2","","35.1","","31.3","","29.3","","28.1","","27.4","","26.8","","26.3","","25.7"," a"
"127"," Guatemala","13.4","","14.1","","17.0","","15.4","","16.4","","16.7","","16.0","","15.2","","15.2","","14.6","","13.4","","13.4"," a"
"175"," Guinea","99.0","","76.1","","82.4","","83.8","","75.6","","72.5","","69.2","","69.2","","69.7","","70.4","","69.4","","69.4"," a"
"177"," Guinea-Bissau","72.8","","71.9","","78.0","","79.3","","79.3","","76.7","","78.3","","78.9","","78.8","","77.8","","76.5","","78.2"," a"
"125"," Guyana","49.8","","32.9","","19.9","","18.4","","10.9","","9.8","","9.1","","8.2","","7.7","","7.3","","6.8","","6.4"," a"
"168"," Haiti","74.3","","72.0","","67.1","","63.4","","63.2","","63.1","","62.1","","59.9","","57.2","","54.9","","52.2","","50.7"," a"
"133"," Honduras","49.0","","41.8","","31.0","","35.0","","23.9","","26.6","","29.9","","27.9","","26.9","","26.9","","26.0","","21.9"," a"
"7"," Hong Kong, China (SAR)","7.8","","5.8","","5.0","","3.0","","1.8","","1.6","","1.6","","1.4","","1.4","","1.3","","1.2","","1.2"," a"
"130"," India","82.8","","78.2","","76.5","","71.8","","65.9","","59.7","","53.5","","51.5","","49.0","","46.4","","44.2","","42.9"," a"
"116"," Indonesia","89.7","","83.3","","78.9","","59.2","","45.0","","41.9","","40.6","","37.7","","34.7","","30.4","","28.3","","27.6"," a"
"60"," Iran (Islamic Republic of)","7.2","","7.6","","8.0","","7.5","","0.9","","0.6","","0.4","","0.4","","1.5","","1.6","","1.2","","1.1"," a"
"120"," Iraq","63.9","","54.4","","37.6","","40.3","","37.9","","37.5","","35.4","","34.2","","34.7","","34.0","","31.9","","31.6"," a"
"97"," Jamaica","24.6","","11.8","","7.3","","5.8","","6.4","","6.0","","6.0","","6.0","","5.9","","5.9","","5.8","","5.8"," a"
"95"," Jordan","32.3","","26.9","","27.1","","15.4","","9.9","","10.3","","10.9","","11.2","","11.4","","11.7","","11.9","","12.0"," a"
"58"," Kazakhstan","12.1","","19.4","","20.4","","2.2","","1.3","","0.5","","0.3","","0.2","","0.2","","0.2","","0.2","","0.2"," a"
"142"," Kenya","39.8","","39.8","","43.0","","39.3","","34.3","","32.9","","32.0","","30.7","","29.5","","28.4","","27.1","","26.8"," a"
"n.a"," Korea (Democratic People's Rep. of)","66.3","","79.0","","82.7","","79.0","","78.2","","78.0","","77.7","","77.7","","77.6","","78.5","","77.9","","77.0"," a"
"22"," Korea (Republic of)","2.3","","1.2","","0.6","","0.3","","0.3","","0.0","","0.3","","0.3","","0.2","","0.2","","0.2","","0.2"," a"
"56"," Kuwait","3.1","","0.1","","0.1","","0.0","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1"," a"
"122"," Kyrgyzstan","30.9","","72.2","","66.6","","42.1","","18.2","","16.2","","16.7","","20.1","","14.6","","17.5","","16.8","","16.7"," a"
"139"," Lao People's Democratic Republic","99.1","","98.2","","98.8","","98.9","","96.7","","94.9","","85.2","","83.5","","81.7","","79.9","","78.0","","77.2"," a"
"80"," Lebanon","1.1","","0.6","","0.5","","0.6","","0.2","","0.2","","0.3","","0.3","","0.4","","0.5","","0.5","","0.4"," a"
"159"," Lesotho","77.9","","73.0","","70.8","","70.6","","66.0","","63.5","","60.7","","60.1","","59.3","","57.4","","56.6","","55.3"," a"
"181"," Liberia","88.7","","92.0","","89.4","","89.6","","83.8","","81.7","","78.4","","74.9","","70.6","","69.9","","69.7","","68.7"," a"
"108"," Libya","2.9","","4.3","","4.5","","2.3","","1.4","","16.0","","1.4","","10.2","","16.2","","18.4","","19.2","","10.4"," a"
"161"," Madagascar","85.5","","86.0","","83.5","","88.4","","90.5","","89.5","","87.5","","87.4","","87.1","","86.7","","86.3","","86.4"," a"
"171"," Malawi","85.1","","84.4","","85.4","","89.1","","84.9","","84.4","","84.6","","83.6","","82.6","","82.4","","82.4","","82.6"," a"
"57"," Malaysia","12.2","","9.9","","4.5","","3.2","","2.1","","1.9","","1.7","","1.5","","1.4","","1.3","","1.1","","1.1"," a"
"101"," Maldives","60.9","","57.8","","43.4","","22.0","","19.3","","15.5","","13.3","","11.9","","10.4","","9.7","","9.6","","9.6"," a"
"182"," Mali","93.8","","94.2","","86.7","","77.3","","82.3","","82.4","","83.2","","83.4","","82.6","","82.0","","81.4","","75.9"," a"
"159"," Mauritania","56.4","","38.3","","35.3","","29.9","","22.8","","21.2","","19.6","","18.1","","16.8","","16.9","","16.9","","15.9"," a"
"65"," Mauritius","3.1","","2.7","","2.4","","2.1","","1.9","","1.9","","1.9","","1.9","","1.9","","1.8","","1.9","","1.9"," a"
"74"," Mexico","21.3","","24.2","","20.5","","9.7","","10.4","","9.3","","8.3","","9.8","","11.9","","11.5","","11.1","","11.3"," a"
"112"," Moldova (Republic of)","13.9","","30.9","","52.4","","28.8","","3.7","","2.6","","2.1","","1.4","","0.8","","0.8","","0.7","","0.9"," a"
"92"," Mongolia","29.3","","31.0","","39.6","","15.5","","6.6","","4.7","","3.0","","2.3","","2.0","","2.0","","2.1","","2.1"," a"
"50"," Montenegro","0.5","","3.0","","1.0","","0.7","","0.3","","0.6","","1.3","","2.3","","0.4","","0.4","","0.4","","0.4"," a"
"123"," Morocco","29.6","","30.7","","25.9","","18.1","","11.3","","10.4","","10.1","","9.5","","9.2","","8.8","","8.7","","8.2"," a"
"180"," Mozambique","97.6","","97.6","","94.9","","90.5","","84.6","","83.2","","81.8","","80.3","","78.5","","76.9","","76.4","","76.8"," a"
"148"," Myanmar","99.4","","98.6","","95.8","","83.4","","61.6","","59.0","","55.6","","52.0","","48.6","","45.3","","42.9","","41.9"," a"
"129"," Namibia","48.4","","47.0","","43.3","","37.0","","31.0","","29.9","","29.0","","28.4","","27.4","","26.5","","26.3","","26.4"," a"
"149"," Nepal","87.7","","83.7","","75.1","","62.9","","43.8","","42.1","","39.9","","38.0","","35.5","","34.4","","34.1","","32.6"," a"
"124"," Nicaragua","39.0","","37.8","","34.7","","34.2","","20.2","","17.2","","14.5","","12.4","","10.9","","9.9","","9.1","","8.8"," a"
"189"," Niger","87.2","","90.2","","89.8","","88.1","","82.4","","80.7","","77.5","","76.1","","74.0","","74.2","","73.8","","73.9"," a"
"157"," Nigeria","72.9","","77.8","","79.2","","72.5","","69.0","","70.2","","71.3","","70.7","","69.9","","69.9","","70.9","","71.7"," a"
"48"," Oman","1.6","","1.0","","0.6","","0.6","","0.2","","0.4","","0.3","","0.3","","0.3","","0.3","","0.4","","0.5"," a"
"150"," Pakistan","83.0","","67.1","","62.9","","54.3","","41.5","","40.2","","37.0","","33.8","","32.9","","31.9","","31.0","","31.2"," a"
"119"," Palestine, State of","3.5","","3.5","","2.7","","3.6","","2.5","","2.3","","2.1","","2.1","","2.2","","2.2","","2.1","","2.9"," a"
"66"," Panama","23.3","","18.4","","16.5","","14.2","","8.0","","6.9","","7.2","","5.8","","6.1","","4.9","","4.5","","4.3"," a"
"153"," Papua New Guinea","87.6","","79.5","","83.7","","81.2","","68.9","","64.9","","61.8","","59.9","","56.7","","47.8","","47.4","","46.8"," a"
"110"," Paraguay","19.2","","16.1","","12.4","","11.1","","9.0","","8.3","","7.0","","4.1","","4.5","","4.5","","4.5","","4.4"," a"
"89"," Peru","42.0","","35.5","","31.2","","28.8","","13.4","","11.9","","11.0","","9.8","","9.0","","8.9","","8.4","","8.8"," a"
"113"," Philippines","49.6","","24.2","","39.4","","36.3","","30.9","","32.2","","32.2","","27.7","","24.4","","21.2","","19.3","","18.2"," a"
"37"," Qatar","0.1","","0.1","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"," a"
"49"," Russian Federation","3.2","","7.7","","6.1","","2.1","","0.6","","0.4","","0.3","","0.2","","0.1","","0.1","","0.1","","0.1"," a"
"158"," Rwanda","91.8","","93.9","","92.4","","86.3","","79.8","","78.8","","77.8","","78.1","","75.8","","73.1","","71.4","","70.8"," a"
"39"," Saudi Arabia","0.3","","0.4","","0.4","","0.3","","0.3","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2"," a"
"164"," Senegal","87.8","","84.8","","78.6","","65.2","","67.1","","67.7","","67.2","","67.0","","66.4","","65.1","","63.8","","63.2"," a"
"67"," Serbia","0.1","","1.1","","0.8","","1.7","","0.7","","0.6","","0.6","","0.6","","0.6","","0.6","","0.5","","0.5"," a"
"184"," Sierra Leone","75.7","","85.1","","86.2","","83.0","","79.7","","79.1","","74.8","","67.9","","66.6","","76.6","","75.0","","74.8"," a"
"9"," Singapore","5.0","","2.6","","1.7","","0.8","","0.5","","0.4","","0.4","","0.3","","0.3","","0.3","","0.3","","0.3"," a"
"152"," Solomon Islands","48.7","","35.2","","48.7","","51.6","","42.6","","37.2","","35.8","","35.3","","35.4","","34.5","","33.8","","43.5"," a"
"n.a"," Somalia","49.1","","69.5","","73.3","","73.0","","72.8","","72.6","","72.4","","72.2","","71.4","","71.0","","70.9","","71.3"," a"
"113"," South Africa","25.9","","28.5","","30.7","","25.1","","17.7","","16.6","","16.4","","16.2","","16.0","","16.1","","16.1","","16.4"," a"
"76"," Sri Lanka","38.3","","35.9","","30.6","","21.5","","13.8","","13.1","","12.1","","12.2","","11.6","","11.1","","10.7","","10.1"," a"
"167"," Sudan","69.5","","64.5","","53.8","","42.7","","30.4","","27.6","","23.8","","23.1","","22.8","","21.8","","20.8","","23.2"," a"
"100"," Suriname","22.3","","25.3","","26.0","","16.6","","11.7","","10.5","","10.1","","9.6","","9.5","","10.1","","12.6","","12.7"," a"
"155"," Syrian Arab Republic","51.8","","39.9","","38.7","","30.4","","22.7","","23.7","","30.8","","39.6","","46.3","","53.5","","59.4","","62.5"," a"
"127"," Tajikistan","26.2","","79.1","","81.0","","39.5","","32.6","","42.9","","57.7","","55.2","","51.2","","16.7","","15.2","","16.9"," a"
"154"," Tanzania (United Republic of)","86.7","","90.0","","91.1","","80.8","","73.4","","72.6","","72.8","","71.5","","70.2","","69.0","","67.8","","68.3"," a"
"83"," Thailand","27.4","","13.7","","14.7","","5.6","","1.6","","0.9","","1.0","","0.7","","0.7","","0.6","","0.6","","0.6"," a"
"80"," The former Yugoslav Republic of Macedonia","3.8","","5.6","","11.7","","4.0","","11.2","","10.3","","9.0","","7.8","","6.4","","5.7","","5.4","","4.9"," a"
"132"," Timor-Leste","44.1","","46.0","","75.1","","79.5","","58.7","","55.3","","53.4","","52.9","","51.1","","50.4","","22.9","","23.1"," a"
"165"," Togo","73.7","","76.7","","72.5","","75.2","","68.4","","65.6","","66.0","","66.5","","66.1","","65.8","","64.5","","61.4"," a"
"69"," Trinidad and Tobago","7.5","","6.9","","3.0","","1.4","","0.9","","0.9","","0.9","","0.9","","0.9","","0.9","","1.0","","0.9"," a"
"95"," Tunisia","24.9","","20.6","","14.0","","9.0","","5.6","","5.9","","5.6","","5.3","","5.1","","4.9","","5.1","","5.3"," a"
"64"," Turkey","11.3","","8.5","","6.4","","6.4","","2.9","","2.7","","2.1","","1.8","","1.3","","1.2","","1.1","","1.1"," a"
"108"," Turkmenistan","36.1","","49.9","","51.2","","33.6","","11.0","","8.0","","6.3","","5.0","","3.9","","3.4","","3.0","","2.5"," a"
"162"," Uganda","86.8","","83.5","","78.3","","74.2","","64.3","","60.8","","59.6","","59.6","","58.6","","57.6","","56.7","","52.4"," a"
"88"," Ukraine","3.1","","13.5","","11.6","","1.6","","0.3","","0.2","","0.2","","0.3","","0.1","","0.4","","0.3","","0.3"," a"
"34"," United Arab Emirates","0.0","","0.0","","0.0","","0.0","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.5"," a"
"55"," Uruguay","4.9","","3.9","","3.1","","3.2","","1.0","","1.0","","1.0","","1.0","","0.8","","0.8","","0.8","","0.8"," a"
"105"," Uzbekistan","46.3","","63.4","","77.2","","65.1","","37.0","","33.5","","29.5","","25.7","","22.6","","19.7","","17.3","","14.9"," a"
"78"," Venezuela (Bolivarian Republic of)","12.5","","12.9","","13.9","","16.8","","9.5","","8.9","","8.2","","8.3","","9.5","","10.9","","13.5","","15.9"," a"
"116"," Viet Nam","92.8","","88.3","","77.4","","54.2","","20.3","","16.7","","14.0","","12.2","","10.7","","9.3","","8.2","","7.8"," a"
"178"," Yemen","54.1","","51.2","","48.8","","48.8","","41.1","","49.1","","49.0","","47.8","","49.1","","66.0","","71.5","","81.2"," a"
"144"," Zambia","65.4","","66.9","","69.2","","73.4","","73.8","","72.5","","70.6","","69.6","","68.5","","67.7","","67.2","","67.0"," a"
"156"," Zimbabwe","77.8","","71.8","","70.0","","78.4","","76.6","","75.4","","74.8","","74.6","","75.3","","75.1","","74.8","","74.8"," a"
"a: Estimates modelled by the International Labour Organization."
""
